Old_Dialogue_ID,Old_Utterance_ID,Speaker,Emotion,Sentiment,Mean Pitch distance,Max Pitch distance,Mean Intensity distance,Max Intensity distance,Jitter distance,Shimmer distance,Mean Nhr distance,Speechrate distance
559-559,04-May,Chandler-Joey,neutral-neutral,neutral-neutral,0.476338622,0.210633427,0.276032408,0.090313781,0.119314908,0.023809844,3.297452618,0.65859948
559-559,05-Jun,Joey-Phoebe,neutral-neutral,neutral-neutral,0.437617246,0.500063811,1.214091962,0.371461898,0.02024071,0.246413741,3.449914915,0.628843218
559-559,06-Jul,Phoebe-Chandler,neutral-neutral,neutral-neutral,0.350690103,0.356999686,0.694446642,0.209348158,0.097268378,0.618740268,0.551388446,0.146276579
769-769,0-1,Ross-Chandler,negative-negative,negative-negative,1.036031691,0.303954568,1.949131896,1.46163325,1.609193043,1.568551533,0.739033894,0.77878997
769-769,01-Feb,Chandler-Monica,negative-positive,negative-negative,0.565854366,0.808208279,1.877363624,1.202156097,1.724142327,2.86468013,1.931064535,0.268545389
880-880,0-1,Rachel-Tag,positive-neutral,positive-neutral,0.564369675,0.864827068,0.157704484,1.401900725,1.309519576,1.851109606,2.486275193,0.85261604
880-880,01-Feb,Tag-Rachel,neutral-positive,neutral-positive,2.293036696,1.34684912,1.250397143,0.888320292,0.176376285,0.087649139,0.795389041,0.792164259
102-102,0-1,Monica-Rachel,neutral-neutral,neutral-neutral,1.019885425,1.376174369,0.424092409,0.41408165,0.268192633,0.292601933,0.264436994,0.100901881
221-221,0-1,Rachel-Monica,neutral-neutral,neutral-neutral,2.183024327,0.550429493,0.656872618,0.089997223,0.343046565,0.773175917,0.57286937,0.049431623
221-221,02-Mar,Monica-Rachel,neutral-neutral,neutral-neutral,1.608387197,2.339232173,2.031325154,0.443052279,1.317445319,0.357939989,0.139189579,0.28292794
296-296,0-1,Ross-Susan,neutral-neutral,neutral-neutral,0.930573932,1.176058449,0.428104917,0.393330453,0.107971752,0.293432776,0.107089098,1.061997373
296-296,01-Mar,Susan-Ross,neutral-positive,neutral-positive,1.091115428,1.5438856,0.999407625,1.581044861,1.539325775,2.595137999,1.121526191,0.717828829
296-296,03-Apr,Ross-Susan,positive-neutral,positive-neutral,1.70198124,1.322268054,0.266281354,3.281182708,3.116192074,6.662549801,3.307611324,0.481118446
296-296,04-May,Susan-Ross,neutral-negative,neutral-negative,2.640799989,3.433316433,2.050672032,5.181525761,2.127813558,4.797778452,2.247478865,0.832546585
296-296,07-Aug,Ross-Susan,neutral-neutral,neutral-neutral,0.009655615,0.024892273,1.174234252,1.29296785,0.36887091,0.875070569,0.036857204,0.957148083
296-296,08-Sep,Susan-Ross,neutral-neutral,neutral-neutral,0.896648401,3.00310269,0.638917049,0.105253442,0.50968777,0.313298447,0.886790985,0.333791796
296-296,09-Jan,Ross-Susan,neutral-neutral,neutral-neutral,0.16475477,1.553274325,0.784983053,0.08175531,0.331307589,0.047657473,0.203639382,0.291715375
296-296,01-Feb,Susan-Carol,neutral-neutral,neutral-neutral,0.334796187,0.331915878,0.581924942,0.772581279,1.331621803,1.639560733,0.335517077,0.528634176
296-296,02-Mar,Carol-Ross,neutral-positive,neutral-positive,1.425911615,1.211969722,1.581332567,0.808463581,0.207703972,0.955577266,0.786009114,0.189194653
296-296,05-Jun,Ross-Carol,negative-neutral,negative-neutral,0.520321005,1.897933467,0.608806333,0.491905773,0.602622606,0.159905958,0.678605819,0.044428213
296-296,06-Jul,Carol-Ross,neutral-neutral,neutral-neutral,0.398441101,0.14394995,1.144123537,1.917163062,1.261541617,0.280843012,0.093705152,0.504242759
296-296,09-Oct,Ross-Carol,neutral-neutral,neutral-neutral,0.791601581,3.188598012,0.406024222,0.20152024,0.886000081,0.290923313,0.169846373,0.919473522
296-296,10-Nov,Carol-Ross,neutral-positive,neutral-positive,0.628777574,1.152349341,1.021488321,0.914148885,1.435099257,1.215506597,0.405915221,1.051622444
296-296,11-Dec,Ross-Carol,positive-neutral,positive-neutral,0.106418064,0.106812218,2.239284987,1.442077299,0.576969325,0.018897559,3.128909884,1.239440845
296-296,Dec-13,Carol-Ross,neutral-neutral,neutral-neutral,3.599760862,2.107890165,0.794179166,0.254362891,0.576969325,1.011017998,1.383346957,1.296526716
296-296,13-14,Ross-Carol,neutral-positive,neutral-positive,3.530674264,0.950136852,1.403077499,0.518327099,0.051802107,0.958183579,0.260962234,0.624429925
296-296,14-15,Carol-Rachel,positive-positive,positive-positive,0.723615502,1.326117604,0.211253959,1.268544219,0.210189128,0.533955079,0.139421522,1.031642101
296-296,15-16,Rachel-Barry,positive-neutral,positive-neutral,1.978079523,0.648594434,0.887265095,1.225884486,0.678548492,0.043487973,1.596140947,1.318748337
296-296,16-17,Barry-Rachel,neutral-positive,neutral-positive,2.298347817,0.597798647,1.043720831,1.225884486,1.527631841,0.633176844,0.649834094,1.524519524
296-296,17-18,Rachel-Barry,positive-neutral,positive-neutral,0.573856856,0.195556938,1.378764789,2.229599669,0.482693883,2.885713413,0.338455451,1.637034702
296-296,18-19,Barry-Robbie,neutral-positive,neutral-negative,0,0,0,0,0,0,0,0
296-296,19-20,Robbie-Barry,positive-neutral,negative-neutral,0,0,0,0,0,0,0,0
669-669,0-1,Barry-Rachel,neutral-positive,neutral-positive,1.07151742,1.483652599,1.312448985,1.103136346,1.209225585,2.098930648,3.463230947,0.457316839
669-669,01-Feb,Rachel-Barry,positive-positive,positive-positive,1.765795593,0.274871969,1.312448985,0.099421163,1.002132711,0.73490568,0.429002085,0.772661082
669-669,02-Mar,Barry-Rachel,positive-positive,positive-positive,1.329089046,0.488882881,0.373714568,1.140430716,1.10826813,2.035014485,1.453781571,1.793203156
669-669,03-Apr,Rachel-Barry,positive-neutral,positive-neutral,2.437715373,1.704228053,1.875736365,1.140430716,0.706202985,0.945077436,0.279034874,0.990291273
872-872,0-1,Mrs. Geller-Mr. Geller,negative-positive,negative-negative,0.192828766,0.746031439,0.155318898,0.053401719,2.020486701,1.049360934,2.066270404,0.284444998
872-872,01-Feb,Mr. Geller-Mrs. Geller,positive-positive,negative-positive,1.352774264,0.22879066,0.135190729,0.053401719,2.257430722,1.698798364,2.364434607,0.176922194
872-872,02-Jun,Mrs. Geller-Mr. Geller,positive-neutral,positive-neutral,1.591612396,1.924028905,0.152496189,1.254538467,0.710817564,0.862323984,0.677234785,0.718765807
872-872,09-Feb,Mr. Geller-Mrs. Geller,neutral-positive,neutral-positive,1.582706952,2.018519058,0.152496189,0.053401719,0.298387389,0.277691353,0.138856433,0.324090074
872-872,02-Mar,Mrs. Geller-Monica,positive-positive,positive-positive,1.302331174,0.574147799,1.286488951,0.484572097,1.915566752,2.480183745,1.749976096,0.809456727
872-872,03-Apr,Monica-Mrs. Geller,positive-neutral,positive-neutral,1.239021843,0.32138212,1.286488951,0.318821417,0.138486595,0.277701236,0.114590617,0.37865815
872-872,04-May,Mrs. Geller-Monica,neutral-neutral,neutral-neutral,0.269999612,0.454113016,0.420319684,0.318821417,1.826417804,0.796409258,1.819490809,0.52064871
872-872,05-Jun,Monica-Mr. Geller,neutral-neutral,neutral-neutral,1.258303453,1.482612003,0.267823495,0.76996637,2.892680397,2.691970255,2.777641503,1.670213094
251-251,0-1,Alan-Monica,positive-neutral,positive-neutral,0.512918128,0.412864803,0.324289238,1.466305333,1.535913488,1.310786477,1.531010326,0.222495708
251-251,01-Feb,Monica-Alan,neutral-neutral,neutral-neutral,2.32873422,1.972050546,2.272998645,0.533694667,0.103398842,0.371853549,0.381117204,1.689205295
251-251,02-Mar,Alan-Monica,neutral-positive,neutral-positive,1.549779863,1.423669624,2.614360372,1.600858191,0.121658653,0.066145177,1.157694779,1.049994084
251-251,03-Apr,Monica-Alan,positive-neutral,positive-neutral,1.367894504,1.728837031,1.250263787,2.600858191,0.05090054,0.161063333,0.709396937,0.414825429
107-107,0-1,Joey-Ross,neutral-neutral,neutral-neutral,0.385104476,2.099544567,0.427369135,0.585921239,0.417579092,0.130572407,0.336064168,0.288187619
107-107,01-May,Ross-Joey,neutral-positive,neutral-positive,0.818775727,1.531582388,0.561088409,0.483012896,0.186601411,0.32357712,0.289064832,0.105653844
107-107,05-Jun,Joey-Ross,positive-neutral,positive-neutral,1.132790299,0.948153955,1.096405613,0.958098659,1.065160092,3.155844902,2.25159744,0.58088945
107-107,01-Feb,Ross-Monica,neutral-neutral,neutral-neutral,1.079643626,0.600497056,0.242449135,0.259477153,1.52906258,1.849108044,0.605685812,0.184352422
107-107,04-May,Monica-Joey,neutral-positive,neutral-positive,0.277338015,1.082508618,1.854767046,0.487981876,0.872497196,0.971153627,1.513245718,0.281042359
107-107,05-Jun,Joey-Ross,positive-neutral,positive-neutral,1.132790299,0.948153955,1.096405613,0.958098659,1.065160092,3.155844902,2.25159744,0.58088945
107-107,06-Jul,Ross-Phoebe,neutral-neutral,neutral-neutral,1.325799792,1.469143195,0.476816274,0.959197559,0.377649461,2.233392254,1.896818686,0.158534507
489-489,0-1,Rachel-Ross,positive-positive,positive-positive,0.646355801,2.011613577,0.104109226,0.125611388,0.165755854,0.348635377,0.632734383,0.051250729
489-489,01-Feb,Ross-Monica,positive-neutral,positive-neutral,0.933538918,3.011095948,0.08728468,1.40147131,1.833255277,2.739765425,2.816523878,0.147034863
489-489,02-Mar,Monica-All,neutral-neutral,neutral-neutral,0.314975471,0.482323494,1.815748042,0.289320349,2.947331743,1.349029187,1.718190093,0.514259815
489-489,03-Apr,All-Ross,neutral-neutral,neutral-neutral,0.443259332,0.518174263,0.657828955,0.637065198,1.223896301,0.321888495,0.162858278,0.59000293
491-491,0-1,Phoebe-Monica,neutral-negative,neutral-negative,0.420312788,2.672192484,2.098185077,1.859437272,1.177663641,0.599492578,0.181867121,0.314918597
491-491,01-Feb,Monica-Ross,negative-negative,negative-negative,0.120707868,0.035807879,1.336358155,0.259847494,0.150741892,0.441962955,1.023821423,0.285574875
607-607,0-1,Joey-Ross,negative-negative,negative-negative,0.408985913,2.102921309,0.111579431,0.055439242,0.370562423,1.516669757,1.926210251,0.058923249
607-607,01-Feb,Ross-Chandler,negative-negative,negative-negative,1.33111333,0.274975407,0.768761254,0.50035185,0.146589544,0.414959895,0.108787986,0.182368164
607-607,03-Apr,Chandler-Rachel,neutral-neutral,neutral-neutral,0.508091441,1.812220622,1.977496236,1.625625926,0.27359321,0.888864988,0.518891882,0.46559512
607-607,04-May,Rachel-Chandler,neutral-positive,neutral-positive,0.385202741,0.389611544,0.163600463,1.807847998,1.942505101,1.368189996,1.847410159,0.454579561
607-607,Dec-13,Chandler-Rachel,positive-positive,positive-positive,2.437172107,2.337748156,1.351673291,0.82986451,0.045394111,0.098759507,0.185021886,0.175445085
607-607,13-14,Rachel-Ross,positive-neutral,positive-neutral,0.343952593,0.018711932,1.213486659,0.141272465,1.044314535,0.061293526,0.966152133,0.65087166
607-607,14-15,Ross-Rachel,neutral-neutral,neutral-neutral,0.3576946,0.927108787,0.274752241,0.141272465,1.362720791,0.828254604,2.34106461,1.070164451
615-615,0-1,Chandler-Phoebe,neutral-neutral,neutral-neutral,0.247641432,0.688194301,0.516809903,0.493967371,0.083255606,0.477770594,1.32148513,0.067690659
615-615,01-Jul,Phoebe-Chandler,neutral-negative,neutral-negative,1.547392083,0.461300727,0.335420326,0.487025179,0.181426894,0.810525145,0.992424187,0.153596587
615-615,13-Jan,Chandler-Phoebe,negative-neutral,negative-neutral,1.439006566,1.12043386,0.335420326,0.003471096,0.113086969,0.941250147,0.024629416,0.310939661
615-615,01-Feb,Phoebe-All,neutral-negative,neutral-negative,0.706129188,0.009568892,0.85638379,0.590830013,0.559212035,0.34437323,0.46620513,0.954708132
615-615,03-Apr,All-Rachel,negative-negative,negative-negative,0.148690421,0.636110137,1.02057765,1.427205756,0.948270208,0.509011858,1.187725975,0.496060936
615-615,04-May,Rachel-Chandler,negative-negative,negative-negative,2.087418172,0.8067139,0.312619436,0.302322008,1.035071119,0.41405211,0.195675426,0.142457811
615-615,05-Jun,Chandler-Monica,negative-positive,negative-negative,0.088181356,0.433542025,1.334105199,0.49842967,0.677371886,0.439287251,0.844098014,0.144004021
615-615,06-Jul,Monica-Chandler,positive-negative,negative-negative,0.352839725,1.362243665,0.608546889,0.237314742,0.893368718,1.026417321,1.548994512,0.498477647
615-615,13-14,Chandler-Joey,negative-negative,negative-negative,1.430385767,1.836464916,0.249766063,0.211414631,0.050015103,0.900683049,0.120849467,0.081206236
615-615,14-15,Joey-Rachel,negative-neutral,negative-neutral,0.450684731,0.633771907,1.727730173,0.960761247,0.509546774,0.106825978,0.073972261,0.233520967
615-615,15-16,Rachel-Joey,neutral-neutral,neutral-neutral,1.675757367,1.493442563,0.245043856,0.108172889,0.43987973,0.074833833,0.129691528,0.178276101
615-615,16-17,Joey-Ross,neutral-neutral,neutral-neutral,1.842358684,2.683835883,1.237387612,1.037250948,1.037546092,0.18480667,0.087995834,0.204053588
615-615,17-18,Ross-Joey,neutral-negative,neutral-negative,0.146301426,0.67905696,0.74315884,0.18210364,0.088119587,0.4649765,1.055654678,0.439193559
615-615,18-19,Joey-Ross,negative-neutral,negative-neutral,0.987635175,0.355471855,0.564719772,0.18210364,1.076498103,0.135807575,0.096052022,0.352278415
615-615,19-20,Ross-Rachel,neutral-positive,neutral-positive,0.762484721,1.647690757,0.260564962,0.304472328,1.267638621,0.311843289,1.216800979,0.402638627
615-615,20-21,Rachel-Phoebe,positive-neutral,positive-neutral,0.490362555,1.666951658,0.317461233,0.086792351,0.153896366,1.228699509,0.61451093,0.715831568
615-615,21-22,Phoebe-Rachel,neutral-negative,neutral-negative,0.946963792,0.575133178,0.473916969,0.746015291,0.047760947,0.821940321,0.409555032,0.441684649
818-818,02-Mar,Monica-Paula,positive-neutral,positive-neutral,0.318481445,0.7457402,0.184674337,0.853603667,0.872808704,1.217123819,1.606194568,1.449727331
818-818,05-Jun,Paula-Monica,neutral-negative,neutral-negative,2.225469633,0.303308467,1.660701587,0.316179538,0.48041064,0.714174748,0.392686441,0.490953456
818-818,06-Jul,Monica-Paula,negative-neutral,negative-neutral,0.089280217,1.199895285,0.339298413,0.458417131,0.856145214,0.328690111,0.312893633,0.108122279
910-910,0-1,Monica-Ross,neutral-neutral,neutral-neutral,0.160744406,0.072822601,2.42250897,0.498131059,2.088997404,1.19577694,0.036523929,0.767753238
910-910,06-Sep,Ross-Monica,positive-neutral,positive-neutral,0.463011861,1.563652569,1.107481364,1.402211993,0.474783573,0.203379406,0.336687803,0.191793317
910-910,09-Oct,Monica-Ross,neutral-positive,neutral-negative,0.851922237,0.587928151,0.855348382,0.214497585,0.513594943,0.901693363,0.357881739,0.855585016
910-910,10-Nov,Ross-Monica,positive-neutral,negative-neutral,3.39617874,3.238955814,1.534183708,7.32967378,1.526353668,0.455524389,4.205064895,4.026976818
910-910,11-Jan,Monica-Ross,neutral-neutral,neutral-neutral,1.743449541,1.033463516,0.820427437,6.617045135,1.526353668,0.225353867,3.821223832,3.947800688
910-910,01-Feb,Ross-All,neutral-positive,neutral-positive,1.450444378,1.762695258,4.333929376,3.166451339,1.135880537,0.394227511,0.120368207,0.501447677
910-910,02-May,All-Ross,positive-positive,positive-positive,0.158534244,0.950135959,2.014221494,2.216279813,0.476961526,0.714125525,0.28487152,0.08195314
910-910,06-Feb,Ross-All,positive-positive,positive-positive,0.186625554,1.418521458,1.657343359,1.266108287,0.147502021,0.073915924,0.190360272,0.466754526
910-910,02-Mar,All-Monica,positive-positive,positive-positive,0.255096019,0.073836938,1.228696951,1.719630121,0.734814342,0.235983388,0.75521655,0.342490367
910-910,03-Apr,Monica-Joey,positive-neutral,positive-neutral,2.173368043,1.314236936,0.654063062,0.227423624,0.644201735,0.365737376,0.209847694,0.379132868
910-910,04-May,Joey-Ross,neutral-positive,neutral-positive,1.75973778,2.190535956,1.439587605,0.269226069,0.386348919,1.315846289,1.249935764,0.11859564
910-910,06-Jul,Ross-Rachel,positive-positive,positive-positive,0.032894733,1.865822989,0.417020698,0.600697151,0.482109908,0.52177208,0.171950447,0.129901396
910-910,Dec-13,Rachel-Ross,positive-positive,positive-positive,0.088562205,0.965810521,0.612219461,0.170613436,0.806252782,0.028172645,0.133234423,0.106440166
910-910,13-Jul,Ross-Rachel,positive-positive,positive-positive,0.251735971,0.912059633,0.952337902,0.587017257,0.042830567,0.868978461,0.184473397,0.317554031
910-910,07-Aug,Rachel-Chandler,positive-positive,positive-positive,0.134659084,0.626664397,0.437872714,0.114081813,0.363800367,0.260463384,0.501222354,0.377752468
910-910,08-Sep,Chandler-Monica,positive-neutral,positive-neutral,0.630565678,0.324493977,1.962374777,0.687433029,0.356474033,0.98561487,0.007415896,0.439644389
910-910,11-Dec,Monica-Rachel,neutral-positive,neutral-positive,2.876989332,2.295106355,2.349476789,7.500287216,0.17100171,0.618168594,3.287305932,3.320613746
910-910,12-May,Rachel-Ross,positive-positive,positive-positive,0.475438831,0.44908354,0.790658529,0.066929446,0.696432947,1.163420475,0.698421213,0.043786126
910-910,13-14,Ross-Chandler,positive-positive,positive-positive,0.40323051,1.431870241,1.027431462,1.208679856,0.124627224,0.570889563,0.087422619,0.372473056
22-22,05-Jun,Chandler-Ross,neutral-negative,neutral-negative,1.897212985,0.500921208,0.682355364,0.002150319,0.45408673,0.881508038,0.133601051,0.049302469
22-22,06-Jul,Ross-Chandler,negative-neutral,negative-neutral,0.070023807,0.308350898,0.768761254,1.228391006,0.233112284,0.714921536,1.330147314,0.763257014
22-22,07-Aug,Chandler-Ross,neutral-neutral,neutral-neutral,0.154756496,0.209072036,1.194068492,0.196866283,0.452751954,2.283202044,1.841935397,0.232564955
22-22,08-Sep,Ross-Joey,neutral-neutral,neutral-neutral,2.472724714,2.534222458,1.686507391,1.884514131,2.332218599,0.107339936,1.448353608,0.418341584
22-22,09-Oct,Joey-Ross,neutral-neutral,neutral-neutral,2.840046955,2.956554942,1.686507391,2.122057012,2.991137609,1.398521447,2.618154942,0.074819689
22-22,10-Nov,Ross-Joey,neutral-positive,neutral-negative,1.400899493,1.709926171,0.533306922,1.480696531,1.0922846,0.418076662,0.65984927,0.167799267
22-22,11-0,Joey-Chandler,positive-neutral,negative-neutral,1.610219111,0.424037707,1.386319879,0.670449595,0.297089817,0.880642842,0.95366356,0.104326496
22-22,05-Nov,Chandler-Joey,neutral-positive,neutral-negative,0.948368422,0.687393617,2.111878188,0.179953321,0.198918529,1.237165575,0.135437071,0.755717156
22-22,11-Dec,Joey-Chandler,positive-positive,negative-negative,0.033766768,0.791016576,1.204930301,0.425201458,0.198918529,0.924217842,0.689719531,0.554211153
22-22,Dec-13,Chandler-Joey,positive-positive,negative-negative,0.420288914,0.562017015,0.771984788,0.216159023,0.37154153,0.200675602,2.037033833,0.353459826
54-54,0-1,Monica-Phoebe,neutral-neutral,neutral-neutral,0.511621952,0.049719575,0.123313326,0.012702575,0.066059835,0.026964137,1.398721009,0.032779143
54-54,02-Mar,Phoebe-Ross,positive-neutral,positive-neutral,0.199626955,2.721730204,1.3019581,0.212261541,0.204095766,0.417503222,0.005907203,0.155819666
54-54,03-Apr,Ross-Chandler,neutral-neutral,neutral-neutral,0.174695085,2.721034454,0.408932609,0.745599987,0.389526309,0.558423291,0.477201767,0.727769524
54-54,04-May,Chandler-Rachel,neutral-negative,neutral-negative,0.965753476,0.865165156,0.625530908,1.095074362,0.339326909,0.260427849,0.328432591,0.432242284
54-54,05-Jun,Rachel-All,negative-neutral,negative-neutral,0.592952962,0.119907244,0.23283569,0.13053607,0.538331318,1.082193244,0.085027928,0.841189904
54-54,06-Jul,All-Monica,neutral-neutral,neutral-neutral,0.149631115,0.488439199,0.600048253,0.196633693,1.233616793,0.815624042,0.549045256,0.335753131
54-54,07-Aug,Monica-Joey,neutral-negative,neutral-negative,0.637152549,1.488207322,0.022722453,0.246921456,0.28224549,0.377052771,0.253018363,0.774384519
54-54,08-Sep,Joey-Monica,negative-positive,negative-positive,1.050696171,0.489411058,0.318639274,1.195611615,0.057187996,0.255019942,0.318257094,0.042413207
54-54,09-Oct,Monica-Joey,positive-negative,positive-negative,1.195042267,0.123312202,0.318639274,1.409398442,0.143499496,0.419212464,0.363233279,0.285703332
54-54,10-Nov,Joey-Ross,negative-positive,negative-positive,0.023833803,0.666917646,0.739527477,0.483012896,0.60598859,0.142422057,1.082815115,0.517709469
54-54,11-Dec,Ross-Joey,positive-neutral,positive-neutral,1.189717663,1.896299412,0.904270401,0.269226069,0.174431087,0.879541675,0.064496166,0.068964605
70-70,0-1,Ross-Chandler,negative-neutral,negative-neutral,0.231523508,0.081511141,0.155889689,0.013260193,0.344266895,0.088571785,0.962491268,0.455155776
70-70,01-Feb,Chandler-Ross,neutral-positive,neutral-positive,2.230163526,0.099586705,0.691206893,0.250803074,1.632490138,0.250832205,0.856184243,0.577075945
70-70,02-Mar,Ross-Chandler,positive-positive,positive-positive,0.535058174,0.16656644,0.509817315,0.005554937,0.134593041,0.985113271,0.319498051,0.677943469
70-70,03-Apr,Chandler-All,positive-positive,positive-positive,3.127997082,0.669361991,0.29930911,0.594301109,1.517300688,1.850881622,1.546337931,0.817677829
70-70,04-May,All-Chandler,positive-positive,positive-positive,0.200627823,0.602970993,0.117919533,0.349052972,0.339245236,0.591167963,0.103443908,0.171538481
63-63,0-1,Phoebe-Ross,neutral-neutral,neutral-neutral,3.154493768,0.249824497,0.773059529,0.007229275,0.277476349,0.394160044,0.086360137,0.007544821
188-188,0-1,Joey-Ross,neutral-neutral,neutral-neutral,1.554946191,2.681760219,0.904270401,0.079195296,0.950891772,0.570868901,0.009650456,0.07912073
188-188,03-Apr,Ross-Joey,neutral-neutral,neutral-neutral,0.358081269,0.063205218,0.258994848,0.055439242,0.155371238,0.243847945,0.692709098,0.222112951
188-188,04-May,Joey-Ross,neutral-neutral,neutral-neutral,0.624163116,0.174114773,0.080555781,0.292982123,0.265191073,0.395948083,0.656152806,0.75549898
188-188,07-Aug,Ross-Joey,neutral-positive,neutral-positive,0.619291691,2.542679471,0.615872984,0.055439242,1.657170272,0.994382744,0.620658734,0.101784804
188-188,08-Jan,Joey-Ross,positive-neutral,positive-neutral,0.0800154,2.444148813,0.080555781,0.292982123,1.986629777,1.220652071,0.127148796,0.093052475
188-188,01-Feb,Ross-Chandler,neutral-neutral,neutral-neutral,0.033588758,0.267303554,0.230493541,0.227687307,1.24612267,0.93582393,0.197868003,0.225418059
188-188,02-Mar,Chandler-Ross,neutral-neutral,neutral-neutral,0.289524477,0.27703536,0.052054474,0.009855575,0.916663165,1.517102028,0.764490524,0.128790155
188-188,05-Jun,Ross-Chandler,neutral-neutral,neutral-neutral,0.208970374,0.103755797,0.230493541,0.472935444,0.076698259,0.208107655,0.263527433,0.571761614
188-188,06-Jul,Chandler-Ross,neutral-neutral,neutral-neutral,0.226229101,0.081645094,0.304823662,0.235392562,0.033121576,0.375859053,0.373196308,0.13658496
21-21,0-1,Monica-Ross,positive-neutral,negative-neutral,0.815000399,0.060536128,0.257965544,0.971365114,1.334379869,0.146931467,0.616623491,0.277733597
21-21,01-Feb,Ross-Monica,neutral-positive,neutral-positive,1.045449743,2.168519447,0.42475791,1.445710193,1.559437364,0.588421102,1.187898948,0.367949811
21-21,02-Apr,Monica-Ross,positive-neutral,positive-neutral,1.806748061,2.904715551,0.42475791,1.683253075,0.527139503,0.346546994,0.072932052,0.795638236
21-21,04-May,Ross-Monica,neutral-positive,neutral-positive,1.142833585,0.576025325,0.42475791,0.023045296,0.189553262,0.268054304,0.831657268,0.654347751
21-21,02-Mar,Monica-Phoebe,positive-positive,positive-positive,0.437209557,1.014653412,1.433682072,1.188304407,1.491866645,1.464451662,1.159240717,0.159490042
21-21,03-May,Phoebe-Monica,positive-positive,positive-positive,1.101124033,1.314036814,1.433682072,0.471903372,1.829452886,1.385958973,1.917965933,0.018199556
21-21,05-Jun,Monica-Phoebe,positive-negative,positive-negative,0.294110982,0.51285279,0.367861639,0.239778926,0.226683091,0.236841897,1.049433779,0.421828532
21-21,11-Dec,Phoebe-Monica,negative-neutral,negative-neutral,0.667709587,2.566933465,0.907727731,0.714124006,0.451740586,0.177764621,0.568403996,0.547046878
21-21,Dec-13,Monica-Phoebe,neutral-positive,neutral-positive,0.603350001,0.067823207,1.223913134,0.214373776,0.950682985,1.619042869,1.842251155,1.239633227
